@relation './gisette-weka.filters.unsupervised.attribute.Remove-V-R4387,569,4653,2743,580,558,4196,1559,3657,512,4508,4165,215,4857,3003,3066,4554,339,5001-weka.filters.unsupervised.attribute.Remove-V-R15,7,10,9,6,19'

@attribute attr3002 {0,1,2,3,4,5,6,7,8,9}
@attribute attr4195 {0,1,2,3,4,5,6,7,8,9}
@attribute attr511 {0,1,2,3,4,5,6,7,8,9}
@attribute attr3656 {0,1,2,3,4,5,6,7,8,9}
@attribute attr557 {0,1,2,3,4,5,6,7,8,9}
@attribute CLASS {0,1}

@data
0,0,0,0,0,0
9,9,8,9,9,0
9,0,4,6,0,0
0,9,9,9,9,0
7,0,0,0,0,0
0,0,5,5,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,9,9,9,9,0
6,0,0,0,9,1
9,0,9,9,9,1
7,9,9,9,9,0
9,9,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
7,5,9,9,9,0
6,0,0,0,8,1
6,0,9,9,7,0
6,0,0,0,7,1
0,0,0,0,0,1
9,9,9,9,9,0
0,0,0,0,0,1
9,8,9,9,9,0
0,9,9,9,9,0
6,0,9,9,9,0
8,0,9,9,9,0
9,9,7,8,9,0
6,0,4,8,0,1
0,0,0,0,0,1
7,0,0,9,9,0
0,7,8,9,9,0
0,0,0,0,0,1
0,0,9,9,0,0
0,0,0,0,0,1
0,9,9,9,9,0
0,0,0,8,0,0
9,0,0,0,0,0
5,0,0,0,0,0
9,9,8,9,9,0
5,9,9,9,9,0
9,0,5,5,0,0
0,0,8,9,9,0
0,0,5,5,9,0
9,9,0,9,9,0
8,5,9,9,7,0
9,9,9,9,9,1
0,0,0,0,0,1
0,0,0,0,0,0
9,7,7,7,9,0
0,0,0,0,9,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,7,7,9,0
8,8,0,9,9,0
9,9,9,9,9,0
9,0,5,6,0,0
9,0,0,0,8,0
0,6,0,0,8,1
7,0,7,7,9,0
7,0,8,8,9,0
0,0,3,5,5,0
9,9,7,7,9,0
8,0,8,8,9,0
0,0,0,0,0,1
9,9,9,9,9,1
0,0,0,0,0,1
9,5,3,6,5,0
0,9,9,9,9,0
9,6,9,9,7,0
0,0,0,0,0,1
0,0,0,0,0,1
9,0,0,9,5,1
7,0,9,9,9,0
5,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,8,5,9,8,0
0,0,0,0,0,1
9,0,6,6,0,0
0,0,0,0,0,1
0,0,0,0,0,1
9,0,0,9,9,0
0,0,0,0,0,1
7,0,9,9,9,0
0,0,8,8,8,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,9,9,9,9,0
0,0,0,0,9,0
9,8,6,9,9,0
0,0,0,0,0,1
7,0,0,0,0,0
9,9,0,9,9,0
0,0,0,0,0,0
0,0,0,0,0,1
5,0,0,0,0,1
9,0,9,9,9,0
9,9,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
9,8,9,9,8,0
0,0,0,0,0,1
9,6,9,9,9,0
0,0,0,0,0,1
6,0,0,0,0,0
9,9,7,7,9,0
0,0,0,0,0,1
0,0,0,0,0,1
9,9,9,9,9,0
9,9,8,9,9,0
9,0,0,0,0,0
9,0,9,9,0,1
9,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,0
9,5,5,9,8,0
0,0,0,0,0,1
0,0,0,0,0,1
9,9,9,9,9,0
9,8,9,9,9,0
0,0,0,0,0,0
7,0,0,0,9,1
0,0,0,0,8,1
0,0,0,0,0,1
9,4,0,0,7,0
0,0,0,0,0,1
9,6,9,9,6,0
9,9,9,9,9,1
0,0,0,0,0,1
0,0,0,5,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,0,0,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,0,0,0,9,0
9,4,0,0,6,0
0,5,9,9,9,0
0,0,6,6,0,1
7,9,9,9,9,0
0,0,0,0,0,1
9,0,9,9,9,1
0,0,0,0,0,1
0,0,0,0,0,1
9,0,0,0,0,0
0,0,0,0,0,1
9,6,8,8,6,0
0,0,0,0,0,1
9,7,6,6,7,0
0,0,9,9,9,0
0,0,5,9,9,0
0,0,0,0,0,1
0,8,9,9,9,0
0,0,6,6,9,0
7,0,0,0,5,1
9,4,7,9,6,0
0,0,0,0,0,1
9,9,0,9,9,0
0,0,0,0,0,1
0,0,5,6,6,0
0,0,0,0,0,1
5,0,0,0,0,1
0,0,0,0,0,1
9,5,9,9,5,0
9,6,9,9,9,0
7,0,0,9,9,0
0,0,9,9,0,1
7,0,4,8,9,0
0,0,0,0,0,1
9,0,5,8,9,1
7,0,9,9,9,0
9,0,9,9,6,0
0,0,0,0,0,1
0,0,0,0,0,1
9,0,0,0,0,0
0,0,8,9,0,1
8,9,5,9,9,0
0,0,7,9,9,0
0,0,0,0,0,1
0,0,9,9,0,1
0,9,7,9,9,0
9,9,9,9,9,0
0,0,0,0,0,1
9,8,9,9,8,0
0,0,0,0,0,1
7,0,0,9,9,0
0,0,0,0,0,1
8,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,1
0,0,9,9,9,0
0,0,0,0,0,1
9,0,0,0,9,1
0,0,0,0,0,1
5,0,0,0,9,0
0,0,0,0,0,1
9,0,9,9,7,1
9,9,9,9,9,0
0,5,6,8,9,0
0,0,0,0,0,1
9,0,0,0,9,0
0,0,8,9,9,0
0,0,7,7,0,1
8,0,0,0,0,1
0,0,0,0,0,1
9,0,6,6,0,0
0,0,0,0,0,1
0,0,0,0,0,1
9,0,0,7,9,0
0,0,0,0,5,0
9,0,0,0,0,0
9,0,0,0,0,0
0,0,0,0,0,1
6,0,0,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
9,9,7,8,9,0
9,0,9,9,7,0
9,0,0,0,0,0
0,0,8,8,9,0
0,0,7,7,0,1
0,0,0,0,0,1
9,7,8,9,7,0
0,0,0,0,0,1
9,7,9,9,9,0
0,0,7,7,9,0
9,8,6,6,9,0
0,0,0,0,0,1
9,0,0,0,0,1
9,0,9,9,0,0
0,9,9,9,9,0
0,0,0,0,0,1
9,7,8,9,8,0
9,9,0,9,9,0
0,0,9,9,0,1
9,0,0,0,0,0
7,8,9,9,9,0
0,0,0,0,0,1
9,8,9,9,9,0
0,0,0,0,0,1
5,0,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,7,1
0,0,0,0,0,1
0,0,0,0,0,1
0,7,8,9,7,0
0,0,0,0,0,1
0,0,0,0,7,1
7,5,9,9,5,1
9,9,9,9,9,0
0,0,0,0,0,1
9,0,9,9,7,1
0,0,0,0,0,1
8,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,0,6,6,0,0
8,7,0,0,7,0
9,8,0,5,9,0
9,0,0,9,7,0
0,8,0,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,8,8,9,0
9,9,9,9,9,0
9,0,9,9,9,0
5,5,7,9,9,0
8,9,9,9,9,0
0,8,9,9,9,0
0,8,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,9,9,9,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,6,6,7,0
0,0,0,0,0,1
0,0,0,0,0,1
9,9,9,9,9,1
0,0,0,0,0,1
6,0,6,9,9,0
9,8,9,9,9,0
9,6,8,9,7,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,9,9,0,1
9,5,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,9,9,9,9,0
9,0,9,9,7,1
0,0,0,0,0,1
0,0,0,0,0,0
9,4,9,9,7,0
9,5,0,5,5,0
0,0,0,0,0,1
8,0,7,9,8,0
0,0,0,0,0,1
9,8,9,9,9,0
0,0,0,0,0,1
9,9,9,9,9,0
0,0,0,0,0,0
0,0,0,0,0,1
9,4,9,9,9,1
9,9,8,8,9,0
6,6,0,0,6,1
0,0,0,0,0,1
0,0,0,0,0,1
9,5,9,9,8,1
9,9,9,9,9,0
9,0,0,0,0,0
8,5,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,0,6,6,9,1
9,9,9,9,9,0
0,0,8,8,0,0
8,0,7,7,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,9,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
5,9,9,9,9,0
9,9,9,9,9,0
0,0,0,0,0,1
0,7,0,9,7,0
5,7,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,0,9,9,0,0
9,0,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
9,0,9,9,9,0
0,0,0,0,0,1
9,9,9,9,9,0
9,0,9,9,8,0
0,0,0,0,0,1
7,0,0,0,9,1
0,0,0,0,0,1
0,0,0,0,0,1
7,0,0,0,0,1
9,9,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,7,7,8,0
0,0,0,0,0,1
9,6,4,5,7,0
0,0,0,0,0,1
7,0,9,9,0,1
0,0,0,0,0,1
9,0,6,6,0,0
0,0,0,0,0,1
9,0,9,9,7,1
0,0,0,0,0,0
6,0,0,0,0,1
0,0,7,7,9,0
9,8,9,9,9,0
0,0,0,0,0,1
9,5,9,9,5,0
0,0,0,0,0,1
9,9,9,9,9,0
0,0,6,6,8,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
8,7,9,9,9,0
9,0,7,7,0,0
8,8,9,9,9,0
0,0,0,0,0,1
9,9,9,9,9,1
9,9,9,9,9,0
0,0,0,0,0,0
0,0,0,0,0,1
5,8,0,9,9,0
9,0,0,0,9,1
9,6,6,6,6,0
0,9,8,8,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,6,9,0
0,0,9,9,0,1
9,5,9,9,5,0
9,0,4,6,9,0
0,0,0,0,0,1
9,9,9,9,9,0
0,0,0,0,0,1
0,0,5,5,9,0
0,0,0,0,0,0
0,0,0,0,0,1
6,9,0,7,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,9,9,9,9,0
8,9,9,9,9,0
0,0,0,0,0,1
9,6,9,9,9,0
9,0,9,9,9,0
5,9,9,9,9,0
0,0,0,0,0,1
0,0,7,7,9,0
0,0,0,0,0,1
9,9,8,9,9,1
0,0,0,0,0,1
0,0,0,0,0,1
5,9,7,9,9,0
0,0,0,0,0,1
5,9,9,9,9,0
7,9,9,9,9,0
0,0,0,0,0,1
9,9,5,7,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
5,6,9,9,7,0
0,0,9,9,9,0
0,0,0,0,0,1
9,8,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,7,7,7,9,0
0,4,7,7,9,0
0,0,0,0,0,1
0,0,0,0,0,1
9,0,0,0,0,0
0,0,0,0,0,1
0,5,6,8,8,0
9,9,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,6,1
9,6,9,9,6,0
0,0,0,0,0,1
0,0,5,5,0,1
0,0,0,0,0,1
5,0,0,0,8,1
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
9,0,0,0,0,0
0,0,4,6,8,0
0,0,0,0,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,0,0,0,7,0
6,0,0,0,0,0
9,9,9,9,9,0
9,0,0,0,6,1
0,0,0,0,0,1
9,0,6,9,9,1
0,4,6,8,6,0
8,9,8,8,9,0
9,7,7,7,7,0
0,0,0,0,0,1
0,0,0,0,0,1
0,6,7,9,6,0
7,0,0,9,9,0
9,9,8,9,9,0
9,0,6,7,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,7,9,9,9,0
0,0,0,0,0,1
9,0,9,9,6,0
0,0,0,0,0,1
0,9,9,9,9,0
9,7,9,9,9,0
0,0,0,0,0,1
9,0,0,0,0,0
9,9,9,9,9,0
9,0,9,9,5,0
9,5,5,5,6,0
0,0,0,0,9,0
0,0,0,6,0,1
9,0,8,8,0,0
9,8,8,8,9,0
0,0,0,0,0,1
0,0,0,0,0,1
9,0,9,9,7,0
9,0,3,5,9,0
9,7,9,9,9,0
0,9,8,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
8,9,9,9,9,0
9,0,0,0,0,0
0,0,0,0,0,0
9,8,9,9,9,0
7,6,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
7,7,0,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
9,3,8,8,5,0
9,0,9,9,7,0
9,0,0,0,6,0
9,7,9,9,9,0
5,9,9,9,9,0
8,9,6,6,9,0
6,9,7,9,9,0
0,0,5,5,0,1
0,0,0,0,0,1
9,0,4,8,9,1
9,7,9,9,7,0
7,0,7,7,6,0
0,0,9,9,9,0
0,0,0,0,0,1
0,0,0,0,9,1
9,5,9,9,9,0
0,0,0,0,5,1
0,0,0,0,0,1
0,5,0,0,5,0
0,0,0,0,0,0
9,0,5,6,0,0
9,9,7,9,9,0
0,0,0,0,0,1
9,0,0,0,0,0
0,0,0,0,0,1
7,7,7,8,7,0
0,0,7,9,0,0
9,9,9,9,9,0
9,9,9,9,9,0
8,9,7,9,9,0
9,9,9,9,9,0
0,0,0,0,0,1
9,9,9,9,9,0
9,3,8,9,5,0
0,0,0,0,0,1
0,0,0,0,0,1
0,8,8,9,9,0
0,0,0,0,0,1
9,0,6,6,0,0
9,8,9,9,8,0
9,5,7,7,5,0
0,0,0,0,0,1
6,0,0,0,0,0
8,0,0,0,5,1
0,0,0,0,0,1
9,5,9,9,5,0
0,0,0,0,0,1
8,9,0,9,9,0
9,9,0,9,9,0
7,9,9,9,9,0
0,0,0,0,0,1
0,6,0,9,6,0
0,0,0,0,0,1
0,0,9,9,9,0
0,0,0,0,0,1
9,9,9,9,9,1
0,0,0,0,0,0
0,0,0,0,0,1
9,9,9,9,9,0
9,6,9,9,9,0
9,7,9,9,9,0
0,7,8,8,9,0
6,0,9,9,9,0
9,4,9,9,7,0
0,0,0,0,0,1
9,7,6,6,7,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,8,7,9,9,0
0,0,0,0,0,1
7,8,0,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,0,9,9,9,0
0,0,9,9,9,0
7,8,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
7,0,8,9,9,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,1
0,9,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
9,9,8,9,9,0
0,0,0,0,0,0
0,0,0,0,0,1
9,0,9,9,9,0
9,9,9,9,9,0
9,0,9,9,9,0
0,0,0,0,0,1
9,0,6,6,0,0
0,0,0,0,0,1
5,9,9,9,9,0
0,0,0,0,0,1
9,0,0,0,8,1
0,0,0,0,0,1
7,0,0,0,9,1
6,6,8,9,9,0
9,6,0,9,6,0
5,0,0,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
9,9,9,9,9,0
6,6,7,7,6,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,6,8,9,6,1
9,7,9,9,7,0
8,4,0,0,7,0
0,0,0,0,0,1
0,0,0,0,0,1
5,9,8,8,9,0
0,0,0,0,0,1
9,0,0,0,9,1
9,0,9,9,0,1
9,0,9,9,9,0
0,0,0,0,8,0
9,9,9,9,9,0
8,0,5,5,0,0
5,0,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
9,9,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
9,5,0,0,5,0
0,0,0,0,0,1
9,9,9,9,9,1
0,0,9,9,0,1
9,0,9,9,9,0
9,9,9,9,9,0
7,0,4,6,9,1
7,0,0,9,9,0
9,9,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,9,9,9,9,0
0,0,0,0,0,1
5,5,7,7,9,0
0,0,0,0,0,1
0,0,0,0,6,1
6,0,9,9,9,0
9,6,7,9,9,0
0,0,0,0,0,1
0,5,0,0,7,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,9,9,0,1
7,0,5,5,0,0
9,7,9,9,9,0
0,0,0,0,0,1
0,6,9,9,9,0
0,0,0,0,0,1
9,8,9,9,9,0
0,4,8,8,5,0
9,9,9,9,9,0
9,9,9,9,9,0
0,0,0,0,0,1
9,0,0,6,0,0
0,0,0,0,0,1
9,9,0,9,9,0
7,0,0,0,0,0
9,0,0,0,5,0
0,0,0,0,0,1
9,5,6,6,5,0
0,0,8,8,8,0
0,0,0,0,0,1
9,9,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
6,9,9,9,9,0
0,0,0,0,0,1
0,0,6,7,9,0
0,5,9,9,9,0
0,0,0,0,8,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,5,0,9,6,0
0,0,0,0,0,1
8,7,9,9,9,0
0,8,9,9,9,0
9,9,8,9,9,0
7,9,9,9,9,0
9,2,0,0,5,0
5,0,5,9,9,0
5,0,9,9,9,0
0,0,0,0,0,1
9,0,5,6,0,0
0,9,9,9,9,0
9,0,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
9,0,0,0,9,0
0,0,0,0,0,1
9,5,9,9,5,0
0,0,0,0,0,1
7,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,6,9,9,8,0
0,5,9,9,7,0
9,9,9,9,9,0
8,9,9,9,9,0
9,6,9,9,9,1
0,0,0,0,0,1
8,8,8,9,9,0
0,0,8,8,8,0
9,0,0,0,5,1
5,9,9,9,9,0
8,7,9,9,9,0
9,0,0,0,9,1
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,1
9,5,0,9,8,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,7,9,9,8,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,5,7,8,5,0
8,0,9,9,9,0
0,0,0,0,0,1
7,0,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
9,0,8,8,0,0
9,0,0,0,8,0
0,0,0,7,5,0
0,0,9,9,0,0
0,0,0,0,0,1
8,0,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
5,0,0,0,0,1
0,0,0,0,0,1
9,0,8,8,0,0
0,0,0,0,0,1
0,0,7,9,9,0
0,0,8,8,9,0
9,9,9,9,9,0
0,5,5,5,7,0
7,0,0,0,0,1
9,0,0,0,0,0
6,9,5,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
9,8,9,9,9,0
9,7,0,9,7,1
9,8,6,9,8,0
0,0,0,0,0,1
9,7,8,9,9,0
0,0,0,0,0,1
0,0,9,9,9,0
0,0,0,0,0,1
9,9,0,9,9,0
0,0,0,0,0,1
9,9,7,7,9,0
0,0,0,0,0,0
0,0,0,0,0,1
9,8,9,9,9,0
9,0,7,7,0,0
0,0,0,0,0,1
0,0,0,0,0,1
9,0,0,0,0,0
9,7,9,9,7,0
0,9,9,9,9,0
6,0,0,0,0,0
0,0,0,0,0,1
0,9,9,9,9,0
0,0,0,0,0,1
9,8,6,9,8,0
8,0,6,6,0,0
0,0,0,0,0,1
0,4,8,8,6,0
0,0,0,0,0,1
9,9,5,9,9,0
0,0,0,0,0,1
5,0,0,0,0,0
9,9,0,9,9,0
7,0,0,9,9,0
9,0,7,7,0,0
9,5,9,9,6,0
0,0,0,0,0,1
0,0,0,0,0,1
0,9,4,9,9,0
0,0,0,0,6,1
0,8,9,9,9,0
0,0,8,8,0,1
0,0,0,0,0,1
0,0,8,8,0,0
0,0,0,0,0,1
0,7,9,9,9,0
9,0,0,7,9,0
0,0,0,0,0,1
8,0,9,9,9,0
9,5,8,9,7,0
9,0,9,9,9,0
8,0,7,8,0,0
9,8,9,9,8,0
9,0,8,8,0,0
9,0,8,8,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
7,0,0,0,0,0
9,9,7,7,9,0
0,0,6,6,8,0
0,0,0,0,0,1
7,0,0,0,9,1
0,0,0,0,0,1
9,0,0,0,9,1
9,0,9,9,9,1
0,0,0,0,0,1
9,5,7,7,5,0
7,0,6,6,9,1
8,0,0,6,0,1
0,0,5,9,9,0
0,0,0,0,5,0
0,0,0,0,0,1
0,0,5,7,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,7,8,8,9,0
7,8,9,9,9,0
0,0,0,0,7,1
9,7,8,9,7,0
0,0,9,9,6,0
0,0,6,6,7,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,7,9,9,7,0
0,0,6,6,7,0
7,0,9,9,9,0
0,0,0,0,0,1
0,0,0,0,6,1
0,8,9,9,8,0
7,0,9,9,9,0
0,0,0,0,8,1
7,0,9,9,9,0
9,0,9,9,0,0
9,0,5,5,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
7,0,0,0,0,0
9,9,9,9,9,0
9,7,4,5,7,0
0,0,7,7,9,0
8,0,0,0,9,1
7,0,9,9,9,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
9,7,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,3,9,9,5,0
0,0,0,0,0,1
7,0,2,5,0,0
9,9,9,9,9,1
0,7,9,9,7,0
0,0,0,0,0,1
0,0,0,0,0,1
9,0,7,7,0,0
0,0,0,0,0,1
9,0,9,9,9,1
0,0,0,0,0,1
0,0,0,0,0,1
0,6,7,7,8,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,0,9,9,9,0
0,0,0,0,0,1
9,0,9,9,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
6,0,8,8,7,0
0,0,0,0,0,1
9,0,9,9,9,1
9,0,9,9,9,1
0,0,0,0,0,1
0,0,9,9,9,0
0,0,0,0,0,1
9,9,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,7,8,9,8,0
9,6,9,9,9,0
0,0,0,0,0,1
5,0,9,9,9,0
0,0,0,0,0,1
0,0,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
8,0,0,0,5,1
0,7,8,8,8,0
0,0,9,9,8,0
0,0,0,0,0,1
9,9,9,9,9,0
9,7,9,9,9,0
0,9,8,9,9,0
0,9,9,9,9,0
9,0,0,6,0,0
0,0,0,0,0,1
0,0,0,0,0,1
9,0,0,0,0,1
9,4,9,9,7,0
9,0,0,0,9,1
0,0,0,0,0,1
0,0,0,0,0,1
9,9,0,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
5,5,6,9,5,0
9,8,9,9,9,0
0,0,0,0,0,0
8,9,7,8,9,0
0,0,0,0,0,1
9,7,7,7,7,0
0,0,0,0,0,1
9,9,0,9,9,0
0,0,0,0,0,0
0,0,0,0,0,1
9,9,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,6,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
5,0,3,5,0,0
0,0,0,0,0,0
9,5,9,9,8,0
0,0,8,9,9,0
0,0,0,0,0,1
9,0,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
9,7,8,8,8,0
9,9,9,9,9,0
0,0,0,0,0,1
9,9,9,9,9,0
0,0,0,0,0,1
9,9,8,8,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
5,0,0,9,9,0
8,9,9,9,9,0
5,0,8,9,9,0
9,5,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
8,0,9,9,8,0
6,7,0,9,9,0
9,9,8,9,9,0
9,0,9,9,9,1
0,0,0,0,0,1
7,0,4,6,0,0
0,0,0,0,0,1
0,0,0,0,0,1
9,8,9,9,8,0
0,5,6,6,5,0
9,6,6,8,6,0
8,0,9,9,9,0
0,0,0,0,0,1
0,0,6,6,9,0
0,0,0,0,0,0
9,0,0,9,9,1
7,0,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,0,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
6,0,0,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,8,8,8,0
9,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
7,0,7,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
9,6,9,9,6,0
9,9,9,9,9,0
8,0,0,0,0,0
9,8,9,9,8,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
9,7,9,9,7,1
8,0,0,0,0,0
0,0,0,0,7,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,0,9,9,8,0
0,0,0,0,0,1
0,0,0,0,0,1
9,9,5,9,9,0
0,0,0,0,0,1
9,9,9,9,9,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
9,9,9,9,9,0
0,0,0,0,0,1
9,9,9,9,9,1
9,0,9,9,9,0
0,0,0,0,0,1
9,0,0,0,9,1
8,9,8,9,9,0
7,6,9,9,9,0
9,0,7,7,9,1
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,8,9,9,9,0
0,7,9,9,9,0
9,0,6,6,8,1
0,0,0,0,0,1
0,0,0,0,0,1
9,7,0,5,7,0
5,0,0,0,0,1
9,0,0,0,9,0
0,0,8,9,7,0
9,6,9,9,6,0
8,0,7,9,7,0
0,0,0,0,0,1
9,9,9,9,9,0
0,0,0,0,0,1
9,0,9,9,9,0
5,7,7,9,7,1
0,0,0,0,0,1
0,7,7,9,9,0
0,0,0,0,0,0
9,7,9,9,8,0
8,0,7,7,0,0
0,0,0,0,0,1
9,5,7,7,6,0
0,0,2,5,9,0
9,7,0,9,7,0
0,0,0,0,0,1
6,0,9,9,9,0
9,0,9,9,0,1
9,4,5,5,5,0
0,0,0,0,0,1
9,9,9,9,9,0
9,0,5,5,0,0
0,0,0,0,0,1
9,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,0
9,4,8,8,6,1
0,0,0,0,0,1
9,0,0,0,0,0
9,7,9,9,9,0
0,0,0,0,0,1
0,0,0,9,0,0
7,5,9,9,9,0
0,0,0,0,0,0
9,9,9,9,9,0
9,9,0,9,9,0
8,0,0,9,0,1
0,0,0,0,9,1
9,0,5,5,0,0
0,0,0,0,0,1
0,0,0,0,0,1
9,7,9,9,8,0
0,0,0,0,0,1
9,0,0,9,7,0
7,9,9,9,9,0
0,0,9,9,9,0
0,0,0,0,0,1
9,9,9,9,9,0
9,6,9,9,9,0
7,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
